univ_name;alias;address;sinta_id;pddikti_code;author_number;dept_number;journal_number;sinta_score_overall;sinta_score_3yr;sinta_score_productivity;sinta_score_productivity_3yr;scopus_docs;scopus_citation;scopus_cited_doc;scopus_citation_per_researchers;gscholar_docs;gscholar_citation;gscholar_cited_doc;gscholar_citation_per_researchers;wos_docs;wos_citation;wos_cited_doc;wos_citation_per_researchers;garuda_docs;garuda_citation;garuda_cited_doc;garuda_citation_per_researchers
Institut Agama Islam Shalahuddin Al-Ayyubi (INISA) Tambun Bekasi;-;KAB. BEKASI - JAWA BARAT, ID;3582;212024;5;3;0;77;74;4;4;0;0;0;0;17;7;4;0,3;0;0;0;0;0;0;0;0
STKIP Al Azhar Diniyyah Jambi;-;KOTA JAMBI - JAMBI, ID;3008;103107;7;2;0;80;74;7;6;1;0;0;0;11;13;4;0,76;0;0;0;0;0;0;0;0
STKIP Abdi Wacana Wamena;-;KAB. JAYAWIJAYA - P A P U A, ID;3469;143006;23;3;0;75;73;2;2;0;0;0;0;8;6;1;0,13;0;0;0;0;0;0;0;0
Akademi Pariwisata NHI Bandung;AKPAR NHI;KOTA BANDUNG - JAWA BARAT, ID;1747;44111;16;1;0;95;74;4;3;0;0;0;0;88;143;24;3,67;0;0;0;0;0;0;0;0
Politeknik Tiara Bunda;-;KOTA DEPOK - JAWA BARAT, ID;1820;45049;0;5;0;74;74;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sekolah Tinggi Teknologi Pagar Alam;STIT PAGAR ALAM SUMATERA SELATAN;KOTA PAGAR ALAM - SUMATERA SELATAN, ID;3882;213324;0;2;1;74;74;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BADAN PENGAWAS TENAGA NUKLIR;BAPETEN;KOTA ADM. JAKARTA PUSAT - DKI JAKARTA, ID;4493;0;30;0;0;548;74;0;0;10;68;8;0;411;485;79;0;0;0;0;0;0;0;0;0
STT Lighthouse Equipping Theological School (Lets);-;KAB. BEKASI - JAWA BARAT, ID;4129;233098;0;3;0;77;77;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Politeknik Akbara;POLITEKNIK AKBARA;KOTA SURAKARTA - JAWA TENGAH, ID;8244282;65036;19;3;0;121;67;6;3;0;0;0;0;117;104;45;3,35;0;0;0;0;0;0;0;0
AMIK Sigma;AMIK SIGMA;KOTA PALEMBANG - SUMATERA SELATAN, ID;968;24007;9;3;0;183;67;8;3;0;0;0;0;27;112;9;4,48;0;0;0;0;0;0;0;0
STIT Muhammadiyah Tanjung Redep, Berau, Kalimantan Timur;-;KAB. BERAU - KALIMANTAN TIMUR, ID;3950;213420;0;2;0;67;67;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Akademi Kebidanan Santa Elisabeth Kefamenanu;-;KAB. TIMOR TENGAH UTARA - NUSA TENGGARA TIMUR, ID;2518;154009;0;2;0;67;67;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sekolah Tinggi Ilmu Kesehatan Kesehatan Baru;STIKES KB;KAB. HUMBANG HASUNDUTAN - SUMATERA UTARA, ID;8244471;13206;4;3;0;75;74;4;4;0;0;0;0;5;3;1;0,12;0;0;0;0;0;0;0;0
STMIK Kristen Neumann Indonesia;STMIK NEUMANN;KOTA MEDAN - SUMATERA UTARA, ID;689;13155;2;4;0;135;67;15;7;0;0;0;0;29;92;9;9,2;0;0;0;0;0;0;0;0
Sekolah Tinggi Teologi William Carey Medan;-;KOTA MEDAN - SUMATERA UTARA, ID;4180;233189;0;4;0;67;67;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
STAI Darul Qur`an Payakumbuh;-;KOTA PAYAKUMBUH - SUMATERA BARAT, ID;3676;213096;0;2;0;67;67;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
STAI Ihyaul Ulum Gresik;-;KAB. GRESIK - JAWA TIMUR, ID;3786;213219;10;2;0;106;67;8;5;0;0;0;0;81;280;44;21,54;0;0;0;0;0;0;0;0
STT Tabernakel Indonesia Surabaya;-;KOTA SURABAYA - JAWA TIMUR, ID;4165;233166;8;3;0;76;67;3;3;0;0;0;0;39;42;9;1,68;0;0;0;0;0;0;0;0
Sekolah Tinggi Teologi Basom;-;KOTA BATAM - KEPULAUAN RIAU, ID;4099;233044;3;4;0;73;72;3;3;0;0;0;0;16;7;4;0,27;0;0;0;0;0;0;0;0
Sekolah Tinggi Ilmu Ekonomi IGI;-;KOTA ADM. JAKARTA BARAT - DKI JAKARTA, ID;1159;33072;1;3;0;405;72;10;2;0;0;0;0;163;3029;93;65,85;0;0;0;0;0;0;0;0
Sekolah Tinggi Kepemerintahan dan Kebijakan Publik;-;KAB. BOGOR - JAWA BARAT, ID;1254;33205;3;1;0;641;72;160;18;14;89;12;17,8;64;370;36;74;0;0;0;0;0;0;0;0
STISIP Silas Papare Jayapura;STISIP SILAS PAPARE JAYAPURA;KOTA JAYAPURA - P A P U A, ID;3465;143002;9;2;0;74;72;7;7;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0
STAI Al-Karimiyah Sawangan Depok;-;KOTA DEPOK - JAWA BARAT, ID;3729;213156;0;3;0;72;72;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Politeknik Muara Teweh;-;KAB. BARITO UTARA - KALIMANTAN TENGAH, ID;3300;115008;2;3;0;77;72;4;4;0;0;0;0;7;14;3;0,35;0;0;0;0;0;0;0;0
Politeknik Stibisnis;-;KOTA TEGAL - JAWA TENGAH, ID;336;65018;7;3;0;78;72;3;3;0;0;0;0;17;12;3;0,32;0;0;0;0;0;0;0;0
Akademi Pariwisata Yogyakarta;AKPARYO;KOTA YOGYAKARTA - DAERAH ISTIMEWA YOGYAKARTA, ID;1947;54026;6;1;0;425;68;71;11;1;7;1;1;81;513;40;73,29;0;0;0;0;5;0;0;0
Sekolah Tinggi Pariwisata  Soromandi Bima;STIPAR SOROMANDI BIMA;KAB. BIMA - NUSA TENGGARA BARAT, ID;8244431;83103;9;1;0;172;68;11;5;0;0;0;0;22;48;8;2,53;0;0;0;0;9;0;0;0
Sekolah Tinggi Media Komunikasi Trisakti;STMK TRISAKTI;KOTA ADM. JAKARTA TIMUR - DKI JAKARTA, ID;1245;33195;9;2;0;85;67;5;4;0;0;0;0;54;27;9;1,23;0;0;0;0;0;0;0;0
Politeknik Pelayaran Sulawesi Utara;POLTEKPEL SULUT;UNKNOWN - UNKNOWN, ID;8244508;425023;0;3;0;72;72;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Akademi Pariwisata Jakarta;-;KOTA ADM. JAKARTA PUSAT - DKI JAKARTA, ID;1295;34120;1;2;0;69;69;6;6;0;0;0;0;3;10;1;0,83;0;0;0;0;0;0;0;0
Sekolah Tinggi Ilmu Ekonomi BII Bekasi;STIE BII;KAB. BEKASI - JAWA BARAT, ID;8244415;43227;3;2;0;69;68;4;4;0;0;0;0;9;4;1;0,15;0;0;0;0;0;0;0;0
Sekolah Tinggi Ilmu Syariah (STIS) Ummul Ayman Pidie Jaya;STIS-UA;KAB. PIDIE JAYA - ACEH, ID;4040;213531;18;2;0;89;68;4;3;0;0;0;0;60;163;14;6,79;0;0;0;0;0;0;0;0
Sekolah Tinggi Ilmu Ekonomi Satria Purwokerto;STIE SATRIA PURWOKERTO;KAB. BANYUMAS - JAWA TENGAH, ID;34;63005;11;2;0;187;69;14;5;0;0;0;0;52;35;14;1,59;0;0;0;0;0;0;0;0
Sekolah Tinggi Ilmu Ekonomi Miftahul Huda Subang;-;KAB. SUBANG - JAWA BARAT, ID;1505;43088;1;2;0;171;69;9;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Sekolah Tinggi Teologi Galilea Indonesia;STTGI;KAB. GUNUNGKIDUL - DAERAH ISTIMEWA YOGYAKARTA, ID;4283;233353;10;3;0;93;69;6;5;0;0;0;0;42;342;27;21,38;0;0;0;0;0;0;0;0
Sekolah Tinggi Ilmu Pertanian Yashafa;-;KAB. ACEH SINGKIL - ACEH, ID;3381;133019;8;2;0;263;69;13;3;0;0;0;0;248;4755;219;163,97;0;0;0;0;0;0;0;0
